# Digitized trace from Genet et al. (2023), "Reduced left ventricular dynamics
#   modeling based on a cylindrical assumption", Int. J. Numer. Meth. Biomed.
#   Engng.; their Figure 5 (baseline beat). Extracted from the published figure
#   by dark-pixel segmentation (provenance/reproduction; no image in the repo).
time_ms,pressure_kPa,pressure_mmHg,volume_mL,torsion_deg
0,0.8943,6.708,135.5283,-2.5921
1,0.8943,6.708,135.5283,-2.5921
2,0.8943,6.708,135.5283,-2.5921
3,0.8943,6.708,135.5283,-2.5921
4,0.8943,6.708,135.5283,-2.5921
5,0.8943,6.708,135.5283,-2.5921
6,0.8943,6.708,135.5283,-2.5921
7,0.8943,6.708,135.5283,-2.5921
8,0.8943,6.708,135.5283,-2.5921
9,0.8943,6.708,135.5283,-2.5921
10,0.8943,6.708,135.5283,-2.5921
11,0.8943,6.708,135.5283,-2.5921
12,0.8943,6.708,135.5283,-2.5921
13,0.8943,6.708,135.5283,-2.5921
14,0.8943,6.708,135.5283,-2.5921
15,0.8943,6.708,135.5283,-2.5921
16,0.8943,6.708,135.5283,-2.5921
17,0.8943,6.708,135.5283,-2.5921
18,0.8943,6.708,135.5283,-2.5921
19,0.8943,6.708,135.5283,-2.5921
20,0.8943,6.708,135.5283,-2.5921
21,0.8943,6.708,135.5283,-2.5921
22,0.8943,6.708,135.5283,-2.5921
23,0.8943,6.708,135.5283,-2.5921
24,0.8943,6.708,135.5283,-2.5921
25,0.8943,6.708,135.5283,-2.5921
26,0.8943,6.708,135.5283,-2.5921
27,0.8943,6.708,135.5283,-2.5921
28,0.8943,6.708,135.5283,-2.5921
29,0.8943,6.708,135.5283,-2.5921
30,0.8943,6.708,135.5283,-2.5921
31,0.8943,6.708,135.5283,-2.5921
32,0.8943,6.708,135.5283,-2.5921
33,0.8943,6.708,135.5283,-2.5921
34,0.8943,6.708,135.5283,-2.5921
35,0.8943,6.708,135.5283,-2.5921
36,0.8943,6.708,135.5283,-2.5921
37,0.8943,6.708,135.5283,-2.5921
38,0.8943,6.708,135.5283,-2.5921
39,0.8943,6.708,135.5283,-2.5921
40,0.8943,6.708,135.5283,-2.5921
41,0.8943,6.708,135.5283,-2.6393
42,0.8943,6.708,135.5283,-2.6781
43,0.8943,6.708,135.5283,-2.6781
44,0.8943,6.708,135.5283,-2.6781
45,0.8943,6.708,135.5283,-2.6781
46,0.8943,6.708,135.5283,-2.7248
47,0.8943,6.708,135.5283,-2.7641
48,0.8943,6.708,135.5283,-2.7641
49,0.8943,6.708,135.5283,-2.7641
50,0.8943,6.708,135.5283,-2.7641
51,0.8943,6.708,135.5283,-2.7641
52,0.8943,6.708,135.5283,-2.7641
53,0.8943,6.708,135.5283,-2.7641
54,0.8943,6.708,135.5283,-2.7641
55,0.8943,6.708,135.5283,-2.7641
56,0.8943,6.708,135.5283,-2.7641
57,0.8943,6.708,135.5283,-2.7641
58,0.8943,6.708,135.5283,-2.7641
59,0.8943,6.708,135.5283,-2.7641
60,0.8943,6.708,135.5283,-2.7641
61,0.8943,6.708,135.5283,-2.7641
62,0.8943,6.708,135.5283,-2.7747
63,0.8943,6.708,135.5283,-2.8262
64,0.8943,6.708,135.5283,-2.8501
65,0.8943,6.708,135.5283,-2.8501
66,0.8943,6.708,135.5283,-2.8501
67,0.8943,6.708,135.5283,-2.8501
68,0.8943,6.708,135.5283,-2.8501
69,0.8943,6.708,135.5283,-2.8501
70,0.8943,6.708,135.5283,-2.8501
71,0.8943,6.708,135.5283,-2.8501
72,0.8943,6.708,135.5283,-2.8596
73,0.8943,6.708,135.5283,-2.9111
74,0.8943,6.708,135.5283,-2.9361
75,0.8943,6.708,135.5283,-2.9361
76,0.8943,6.708,135.5283,-2.9361
77,0.8943,6.708,135.5283,-2.9361
78,0.8943,6.708,135.5283,-2.9361
79,0.8943,6.708,135.5283,-2.9361
80,0.8943,6.708,135.5283,-2.9361
81,0.8943,6.708,135.5283,-2.9361
82,0.8943,6.708,135.5283,-2.9361
83,0.8943,6.708,135.5283,-2.9361
84,0.8943,6.708,135.5283,-2.9361
85,0.8943,6.708,135.5283,-2.9361
86,0.8943,6.708,135.5283,-2.9361
87,0.8943,6.708,135.5283,-2.9361
88,0.8943,6.708,135.5283,-2.9361
89,0.8943,6.708,135.5283,-2.9361
90,0.8943,6.708,135.5283,-2.9361
91,0.8943,6.708,135.5283,-2.9361
92,0.8943,6.708,135.5283,-2.9361
93,0.8943,6.708,135.5283,-2.9361
94,0.8943,6.708,135.5283,-2.9361
95,0.8943,6.708,135.5283,-2.9361
96,0.8943,6.708,135.5283,-2.9361
97,0.8943,6.708,135.5283,-2.9361
98,0.8943,6.708,135.5283,-2.9361
