# Digitized traces from Genet et al. (2023), their Fig 6 (aspect ratio  L/2R_i).
# Extracted from the published figure by hue segmentation (provenance/reproduction).
# Where variations overlap (curves coincide) an occluded segment is completed from
# the nearest visible variation. columns: panel {pressure[kPa],volume[mL],torsion[deg]}, variation, x=time[ms], y.
panel,variation,x,y
pressure,1.0,0.00,0.8840
pressure,1.0,1.67,0.8840
pressure,1.0,3.35,0.8840
pressure,1.0,5.02,0.8840
pressure,1.0,6.69,0.8840
pressure,1.0,8.37,0.8840
pressure,1.0,10.04,0.8840
pressure,1.0,11.72,0.8840
pressure,1.0,13.39,0.8840
pressure,1.0,15.06,0.8840
pressure,1.0,16.74,0.8840
pressure,1.0,18.41,0.8840
pressure,1.0,20.08,0.8840
pressure,1.0,21.76,0.8840
pressure,1.0,23.43,0.8840
pressure,1.0,25.10,0.8840
pressure,1.0,26.78,0.8840
pressure,1.0,28.45,0.8840
pressure,1.0,30.13,0.8840
pressure,1.0,31.80,0.8840
pressure,1.0,33.47,0.8840
pressure,1.0,35.15,0.8840
pressure,1.0,36.82,0.8840
pressure,1.0,38.49,0.8840
pressure,1.0,40.17,0.8840
pressure,1.0,41.84,0.8840
pressure,1.0,43.51,0.8840
pressure,1.0,45.19,0.8840
pressure,1.0,46.86,0.8840
pressure,1.0,48.54,0.8840
pressure,1.0,50.21,0.8840
pressure,1.0,51.88,0.8840
pressure,1.0,53.56,0.8840
pressure,1.0,55.23,0.8840
pressure,1.0,56.90,0.8840
pressure,1.0,58.58,0.8840
pressure,1.0,60.25,0.8840
pressure,1.0,61.92,0.8840
pressure,1.0,63.60,0.8840
pressure,1.0,65.27,0.8840
pressure,1.0,66.95,0.8840
pressure,1.0,68.62,0.8840
pressure,1.0,70.29,0.8840
pressure,1.0,71.97,0.8840
pressure,1.0,73.64,0.8840
pressure,1.0,75.31,0.8840
pressure,1.0,76.99,0.8840
pressure,1.0,78.66,0.8840
pressure,1.0,80.33,0.8840
pressure,1.0,82.01,0.8840
pressure,1.0,83.68,0.8840
pressure,1.0,85.36,0.8840
pressure,1.0,87.03,0.8840
pressure,1.0,88.70,0.8840
pressure,1.0,90.38,0.8840
pressure,1.0,92.05,0.8840
pressure,1.0,93.72,0.8840
pressure,1.0,95.40,0.8840
pressure,1.0,97.07,0.8840
