# Digitized traces from Genet et al. (2023), their Fig 7 (internal volume [mL]).
# Extracted from the published figure by hue segmentation (provenance/reproduction).
# Where variations overlap (curves coincide) an occluded segment is completed from
# the nearest visible variation. columns: panel {pressure[kPa],volume[mL],torsion[deg]}, variation, x=time[ms], y.
panel,variation,x,y
pressure,58,0.00,0.8840
pressure,58,1.67,0.8840
pressure,58,3.35,0.8840
pressure,58,5.02,0.8840
pressure,58,6.69,0.8840
pressure,58,8.37,0.8840
pressure,58,10.04,0.8840
pressure,58,11.72,0.8840
pressure,58,13.39,0.8840
pressure,58,15.06,0.8840
pressure,58,16.74,0.8840
pressure,58,18.41,0.8840
pressure,58,20.08,0.8840
pressure,58,21.76,0.8840
pressure,58,23.43,0.8840
pressure,58,25.10,0.8840
pressure,58,26.78,0.8840
pressure,58,28.45,0.8840
pressure,58,30.13,0.8840
pressure,58,31.80,0.8840
pressure,58,33.47,0.8840
pressure,58,35.15,0.8840
pressure,58,36.82,0.8840
pressure,58,38.49,0.8840
pressure,58,40.17,0.8840
pressure,58,41.84,0.8840
pressure,58,43.51,0.8840
pressure,58,45.19,0.8840
pressure,58,46.86,0.8840
pressure,58,48.54,0.8840
pressure,58,50.21,0.8840
pressure,58,51.88,0.8840
pressure,58,53.56,0.8840
pressure,58,55.23,0.8840
pressure,58,56.90,0.8840
pressure,58,58.58,0.8840
pressure,58,60.25,0.8840
pressure,58,61.92,0.8840
pressure,58,63.60,0.8840
pressure,58,65.27,0.8840
pressure,58,66.95,0.8840
pressure,58,68.62,0.8840
pressure,58,70.29,0.8840
pressure,58,71.97,0.8840
pressure,58,73.64,0.8840
pressure,58,75.31,0.8840
pressure,58,76.99,0.8840
pressure,58,78.66,0.8840
pressure,58,80.33,0.8840
pressure,58,82.01,0.8840
pressure,58,83.68,0.8840
pressure,58,85.36,0.8840
pressure,58,87.03,0.8840
pressure,58,88.70,0.8840
pressure,58,90.38,0.8840
pressure,58,92.05,0.8840
pressure,58,93.72,0.8840
pressure,58,95.40,0.8840
pressure,58,97.07,0.8840
pressure,58,98.74,0.8840
pressure,58,100.42,0.8840
pressure,58,102.09,0.8840
pressure,58,103.77,0.8840
pressure,58,105.44,0.8840
pressure,58,107.11,0.8840
pressure,58,108.79,0.8840
pressure,58,110.46,0.8840
pressure,58,112.13,0.8840
pressure,58,113.81,0.8840
pressure,58,115.48,0.8840
pressure,58,117.15,0.8840
pressure,58,118.83,0.8840
pressure,58,120.50,0.8840
pressure,58,122.18,0.8840
pressure,58,123.85,0.8840
pressure,58,125.52,0.8840
pressure,58,127.20,0.8840
pressure,58,128.87,0.9201
pressure,58,130.54,0.9923
pressure,58,132.22,1.0464
pressure,58,133.89,1.1546
pressure,58,135.56,1.2809
pressure,58,137.24,1.3892
