# Digitized traces from Genet et al. (2023), their Fig 8 (wall volume [mL]).
# Extracted from the published figure by hue segmentation (provenance/reproduction).
# Where variations overlap (curves coincide) an occluded segment is completed from
# the nearest visible variation. columns: panel {pressure[kPa],volume[mL],torsion[deg]}, variation, x=time[ms], y.
panel,variation,x,y
pressure,117,0.00,0.9021
pressure,117,1.75,0.9021
pressure,117,3.50,0.9021
pressure,117,5.25,0.9021
pressure,117,7.00,0.9021
pressure,117,8.75,0.9021
pressure,117,10.50,0.9021
pressure,117,12.25,0.9021
pressure,117,14.00,0.9021
pressure,117,15.75,0.9021
pressure,117,17.51,0.9021
pressure,117,19.26,0.9021
pressure,117,21.01,0.9021
pressure,117,22.76,0.9021
pressure,117,24.51,0.9021
pressure,117,26.26,0.9021
pressure,117,28.01,0.9021
pressure,117,29.76,0.9021
pressure,117,31.51,0.9021
pressure,117,33.26,0.9021
pressure,117,35.01,0.9021
pressure,117,36.76,0.9021
pressure,117,38.51,0.9021
pressure,117,40.26,0.9021
pressure,117,42.01,0.9021
pressure,117,43.76,0.9021
pressure,117,45.51,0.9021
pressure,117,47.26,0.9021
pressure,117,49.02,0.9021
pressure,117,50.77,0.9021
pressure,117,52.52,0.9021
pressure,117,54.27,0.9021
pressure,117,56.02,0.9021
pressure,117,57.77,0.9021
pressure,117,59.52,0.9021
pressure,117,61.27,0.9021
pressure,117,63.02,0.9021
pressure,117,64.77,0.9021
pressure,117,66.52,0.9021
pressure,117,68.27,0.9021
pressure,117,70.02,0.9021
pressure,117,71.77,0.9021
pressure,117,73.52,0.9021
pressure,117,75.27,0.9021
pressure,117,77.02,0.9021
pressure,117,78.77,0.9021
pressure,117,80.53,0.9021
pressure,117,82.28,0.9021
pressure,117,84.03,0.9021
pressure,117,85.78,0.9021
pressure,117,87.53,0.9021
pressure,117,89.28,0.9021
pressure,117,91.03,0.9021
pressure,117,92.78,0.9021
pressure,117,94.53,0.9021
pressure,117,96.28,0.9021
pressure,117,98.03,0.9021
pressure,117,99.78,0.9021
pressure,117,101.53,0.9021
pressure,117,103.28,0.9021
pressure,117,105.03,0.9021
pressure,117,106.78,0.9021
pressure,117,108.53,0.9021
pressure,117,110.28,0.9021
pressure,117,112.04,0.9201
pressure,117,113.79,0.9562
pressure,117,115.54,1.0284
pressure,117,117.29,1.1005
pressure,117,119.04,1.2268
pressure,117,120.79,1.3711
pressure,117,122.54,1.5155
pressure,117,124.29,1.6959
pressure,117,126.04,1.8582
pressure,117,127.79,2.0928
pressure,117,129.54,2.3093
pressure,117,131.29,2.5438
pressure,117,133.04,2.7964
pressure,117,134.79,3.0490
pressure,117,136.54,3.2835
pressure,117,138.29,3.5722
pressure,117,140.04,3.8247
pressure,117,141.79,4.1314
pressure,117,143.54,4.4021
pressure,117,145.30,4.4021
pressure,117,147.05,4.6186
pressure,117,148.80,4.6907
pressure,117,150.55,4.8892
pressure,117,152.30,4.8892
pressure,117,154.05,5.1598
pressure,117,155.80,5.4485
pressure,117,157.55,5.7371
pressure,117,159.30,6.0077
pressure,117,161.05,6.2964
pressure,117,162.80,6.6031
pressure,117,164.55,6.8557
pressure,117,166.30,7.1624
pressure,117,168.05,7.4510
pressure,117,169.80,7.7216
pressure,117,171.55,8.0103
pressure,117,173.30,8.2809
pressure,117,175.05,8.5876
pressure,117,176.81,8.8763
pressure,117,178.56,9.1469
pressure,117,180.31,9.4356
pressure,117,182.06,9.6881
pressure,117,183.81,9.9588
pressure,117,185.56,10.2113
pressure,117,187.31,10.4098
pressure,117,189.06,10.6443
pressure,117,190.81,10.8247
pressure,117,192.56,11.0052
pressure,117,194.31,11.1495
pressure,117,196.06,11.2758
pressure,117,197.81,11.3840
pressure,117,199.56,11.4923
pressure,117,201.31,11.6005
pressure,117,203.06,11.6546
pressure,117,204.81,11.7448
pressure,117,206.56,11.7990
pressure,117,208.32,11.8711
pressure,117,210.07,11.9253
pressure,117,211.82,11.9613
pressure,117,213.57,11.9974
pressure,117,215.32,12.0155
pressure,117,217.07,12.0515
pressure,117,218.82,12.0696
pressure,117,220.57,12.1057
pressure,117,222.32,12.1057
pressure,117,224.07,12.1418
pressure,117,225.82,12.1418
pressure,117,227.57,12.1418
pressure,117,229.32,12.1778
pressure,117,231.07,12.1778
pressure,117,232.82,12.1778
pressure,117,234.57,12.1778
pressure,117,236.32,12.1778
pressure,117,238.07,12.1778
pressure,117,239.82,12.1778
pressure,117,241.58,12.1778
pressure,117,243.33,12.1778
pressure,117,245.08,12.1778
pressure,117,246.83,12.1778
pressure,117,248.58,12.1778
pressure,117,250.33,12.1778
pressure,117,252.08,12.1778
pressure,117,253.83,12.1778
pressure,117,255.58,12.1778
pressure,117,257.33,12.1778
pressure,117,259.08,12.1598
pressure,117,260.83,12.1418
pressure,117,262.58,12.1418
pressure,117,264.33,12.1418
pressure,117,266.08,12.1418
pressure,117,267.83,12.1418
pressure,117,269.58,12.1418
pressure,117,271.33,12.1237
pressure,117,273.09,12.1057
pressure,117,274.84,12.1057
pressure,117,276.59,12.1057
pressure,117,278.34,12.1057
pressure,117,280.09,12.1057
pressure,117,281.84,12.1057
pressure,117,283.59,12.0696
pressure,117,285.34,12.0696
pressure,117,287.09,12.0696
pressure,117,288.84,12.0696
pressure,117,290.59,12.0696
pressure,117,292.34,12.0696
pressure,117,294.09,12.0335
pressure,117,295.84,12.0335
pressure,117,297.59,12.0335
pressure,117,299.34,12.0335
pressure,117,301.09,12.0335
pressure,117,302.84,12.0335
pressure,117,304.60,12.0155
pressure,117,306.35,11.9974
pressure,117,308.10,11.9974
pressure,117,309.85,11.9974
pressure,117,311.60,11.9974
pressure,117,313.35,11.9974
pressure,117,315.10,11.9613
pressure,117,316.85,11.9613
pressure,117,318.60,11.9613
pressure,117,320.35,11.9613
pressure,117,322.10,11.9613
pressure,117,323.85,11.9613
pressure,117,325.60,11.9253
pressure,117,327.35,11.9253
pressure,117,329.10,11.9253
pressure,117,330.85,11.8892
pressure,117,332.60,11.8892
pressure,117,334.35,11.8711
pressure,117,336.11,11.8531
pressure,117,337.86,11.8170
pressure,117,339.61,11.7990
pressure,117,341.36,11.7629
pressure,117,343.11,11.7448
pressure,117,344.86,11.7268
pressure,117,346.61,11.6907
pressure,117,348.36,11.6546
pressure,117,350.11,11.6366
pressure,117,351.86,11.6186
pressure,117,353.61,11.5825
pressure,117,355.36,11.5464
pressure,117,357.11,11.5103
pressure,117,358.86,11.4742
pressure,117,360.61,11.4381
pressure,117,362.36,11.4021
pressure,117,364.11,11.3479
pressure,117,365.86,11.3119
pressure,117,367.61,11.2758
pressure,117,369.37,11.2397
pressure,117,371.12,11.2036
pressure,117,372.87,11.1675
