# Digitized traces from Genet et al. (2023), their Fig 9 (fiber angle +-alpha [deg]).
# Extracted from the published figure by hue segmentation (provenance/reproduction).
# Where variations overlap (curves coincide) an occluded segment is completed from
# the nearest visible variation. columns: panel {pressure[kPa],volume[mL],torsion[deg]}, variation, x=time[ms], y.
panel,variation,x,y
pressure,30,0.00,0.8706
pressure,30,1.73,0.8706
pressure,30,3.46,0.8706
pressure,30,5.19,0.8706
pressure,30,6.93,0.8706
pressure,30,8.66,0.8706
pressure,30,10.39,0.8706
pressure,30,12.12,0.8706
pressure,30,13.85,0.8706
pressure,30,15.58,0.8706
pressure,30,17.32,0.8706
pressure,30,19.05,0.8706
pressure,30,20.78,0.8706
pressure,30,22.51,0.8706
pressure,30,24.24,0.8706
pressure,30,25.97,0.8706
pressure,30,27.71,0.8706
pressure,30,29.44,0.8706
pressure,30,31.17,0.8706
pressure,30,32.90,0.8706
pressure,30,34.63,0.8706
pressure,30,36.36,0.8706
pressure,30,38.10,0.8706
pressure,30,39.83,0.8706
pressure,30,41.56,0.8706
pressure,30,43.29,0.8706
pressure,30,45.02,0.8706
pressure,30,46.75,0.8706
pressure,30,48.48,0.8706
pressure,30,50.22,0.8706
pressure,30,51.95,0.8706
pressure,30,53.68,0.8706
pressure,30,55.41,0.8706
pressure,30,57.14,0.8706
pressure,30,58.87,0.8706
pressure,30,60.61,0.8706
pressure,30,62.34,0.8706
pressure,30,64.07,0.8706
pressure,30,65.80,0.8706
pressure,30,67.53,0.8706
pressure,30,69.26,0.8706
pressure,30,71.00,0.8706
pressure,30,72.73,0.8706
pressure,30,74.46,0.8706
pressure,30,76.19,0.8706
pressure,30,77.92,0.8706
pressure,30,79.65,0.8706
pressure,30,81.39,0.8706
pressure,30,83.12,0.8706
pressure,30,84.85,0.8706
pressure,30,86.58,0.8706
pressure,30,88.31,0.8706
pressure,30,90.04,0.8706
pressure,30,91.77,0.8706
pressure,30,93.51,0.8706
pressure,30,95.24,0.8706
pressure,30,96.97,0.8706
pressure,30,98.70,0.8706
pressure,30,100.43,0.8706
pressure,30,102.16,0.8706
pressure,30,103.90,0.8706
pressure,30,105.63,0.8706
pressure,30,107.36,0.8706
pressure,30,109.09,0.8706
pressure,30,110.82,0.8706
pressure,30,112.55,0.9239
pressure,30,114.29,0.9416
pressure,30,116.02,1.0127
pressure,30,117.75,1.0838
pressure,30,119.48,1.1726
pressure,30,121.21,1.2792
pressure,30,122.94,1.4213
pressure,30,124.68,1.5635
pressure,30,126.41,1.7056
pressure,30,128.14,1.8832
pressure,30,129.87,2.0609
pressure,30,131.60,2.2386
pressure,30,133.33,2.4518
pressure,30,135.06,2.6650
pressure,30,136.80,2.8959
pressure,30,138.53,3.1091
pressure,30,140.26,3.3401
pressure,30,141.99,3.5888
pressure,30,143.72,3.8198
pressure,30,145.45,4.0863
pressure,30,147.19,4.3528
pressure,30,148.92,4.6015
pressure,30,150.65,4.8680
pressure,30,152.38,5.1523
pressure,30,154.11,5.4365
pressure,30,155.84,5.7208
pressure,30,157.58,6.0051
pressure,30,159.31,6.2893
pressure,30,161.04,6.5914
pressure,30,162.77,6.8579
pressure,30,164.50,7.1599
pressure,30,166.23,7.4264
pressure,30,167.97,7.7284
pressure,30,169.70,8.0127
